ListingCreationDate,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,AmountDelinquent,StatedMonthlyIncome,LoanCurrentDaysDelinquent,LoanOriginalAmount,LoanOriginationDate,LoanOriginationQuarter,MonthlyLoanPayment,LP_InterestandFees,Investors
2007-08-26 19:09:29.263000000,36,Completed,14-08-2009 0.00,0.16516,0.158,0.138,,,0,CO,Other,Self-employed,472,3083.333333,0,9425,12-09-2007 0.00,Q3 2007,330.43,1971.14,258
2014-02-27 08:28:07.900000000,36,Current,,0.12016,0.092,0.082,A,7,2,CO,Professional,Employed,0,6125,0,10000,03-03-2014 0.00,Q1 2014,318.93,0,1
2007-01-05 15:00:47.090000000,36,Completed,17-12-2009 0.00,0.28269,0.275,0.24,,,0,GA,Other,Not available,,2083.333333,0,3001,17-01-2007 0.00,Q1 2007,123.32,1185.63,41
2012-10-22 11:02:35.010000000,36,Current,,0.12528,0.0974,0.0874,A,9,16,GA,Skilled Labor,Employed,10056,2875,0,10000,01-11-2012 0.00,Q4 2012,321.45,1052.11,158
2013-09-14 18:38:39.097000000,36,Current,,0.24614,0.2085,0.1985,D,4,2,MN,Executive,Employed,0,9583.333333,0,15000,20-09-2013 0.00,Q3 2013,563.97,1256.63,20
2013-12-14 08:26:37.093000000,60,Current,,0.15425,0.1314,0.1214,B,10,1,NM,Professional,Employed,0,8333.333333,0,15000,24-12-2013 0.00,Q4 2013,342.37,327.45,1
2013-04-12 09:52:56.147000000,36,Current,,0.31032,0.2712,0.2612,E,2,1,KS,Sales - Retail,Employed,0,2083.333333,0,3000,18-04-2013 0.00,Q2 2013,122.67,622.45,1
2013-05-05 06:49:27.493000000,36,Current,,0.23939,0.2019,0.1919,C,4,2,CA,Laborer,Employed,0,3355.75,0,10000,13-05-2013 0.00,Q2 2013,372.6,1397.51,1
2013-12-02 10:43:39.117000000,36,Current,,0.0762,0.0629,0.0529,AA,9,7,IL,Food Service,Employed,0,3333.333333,0,10000,12-12-2013 0.00,Q4 2013,305.54,105.5,1
2013-12-02 10:43:39.117000000,36,Current,,0.0762,0.0629,0.0529,AA,11,7,IL,Food Service,Employed,0,3333.333333,0,10000,12-12-2013 0.00,Q4 2013,305.54,105.5,1
2012-05-10 07:04:01.577000000,60,Current,,0.27462,0.2489,0.2389,C,7,1,MD,Fireman,Employed,253,7500,0,13500,17-05-2012 0.00,Q2 2012,395.37,5327.53,19
2007-10-09 20:28:33.640000000,36,Completed,07-01-2008 0.00,0.15033,0.1325,0.1225,,,0,,Waiter/Waitress,Full-time,2224,1666.666667,0,1000,18-10-2007 0.00,Q4 2007,33.81,11.65,53
2013-12-15 20:01:10.757000000,36,Past Due (1-15 days),,0.17969,0.1435,0.1335,B,4,1,AL,Sales - Retail,Employed,0,2416.666667,3,4000,07-01-2014 0.00,Q1 2014,137.39,47.1774,1
2013-07-15 16:28:28.087000000,36,Current,,0.13138,0.1034,0.0934,A,8,1,AZ,Construction,Employed,0,5833.333333,0,8500,18-07-2013 0.00,Q3 2013,275.63,480,171
2013-04-19 11:17:41.700000000,60,Current,,0.11695,0.0949,0.0849,A,8,1,VA,Computer Programmer,Employed,0,10833.33333,0,19330,13-05-2013 0.00,Q2 2013,415.37,1310.23,371
2012-04-10 09:14:46.297000000,36,Defaulted,19-12-2012 0.00,0.35797,0.3177,0.3077,HR,5,13,FL,Other,Other,0,5500,140,4000,19-04-2012 0.00,Q2 2012,173.71,311.38,10
2013-07-16 12:42:48.680000000,60,Current,,0.30748,0.2809,0.2709,E,4,6,CA,Professional,Full-time,2469,8291.666667,0,4000,18-07-2013 0.00,Q3 2013,124.76,646.25,8
2006-08-15 12:21:09.433000000,36,Chargedoff,22-05-2008 0.00,0.13202,0.125,0.1175,,,0,,Professional,Not available,,5833.333333,2239,10000,22-08-2006 0.00,Q3 2006,334.54,1338,85
2013-02-20 03:48:37.470000000,36,Current,,0.12528,0.0974,0.0874,A,7,1,PA,Sales - Commission,Employed,0,6250,0,15000,11-03-2013 0.00,Q1 2013,482.18,1182.94,303
2013-08-21 06:49:02.093000000,60,Current,,0.24754,0.2225,0.2125,D,8,1,OR,Laborer,Employed,0,3075,0,6500,10-10-2013 0.00,Q4 2013,180.45,476.6777,1
2013-11-22 11:35:02.987000000,36,Current,,0.16732,0.1314,0.1214,B,7,1,MN,Retail Management,Employed,0,5166.666667,0,14000,29-11-2013 0.00,Q4 2013,472.66,443.08,1
2007-11-30 20:33:49.227000000,36,Completed,12-12-2010 0.00,0.21488,0.2075,0.1975,,,0,MI,Professional,Full-time,5200,3750,0,3000,12-12-2007 0.00,Q4 2007,112.64,1061.05,53
2013-01-30 09:36:13.783000000,36,Current,,0.35356,0.3134,0.3034,HR,2,1,NY,Other,Other,0,118.333333,0,4000,05-02-2013 0.00,Q1 2013,172.76,1122.12,94
2013-04-22 13:29:19.073000000,36,Defaulted,26-12-2013 0.00,0.28032,0.2419,0.2319,D,5,15,IL,Skilled Labor,Employed,0,2500,193,2000,26-04-2013 0.00,Q2 2013,78.67,118.28,30
2013-12-03 11:34:46.127000000,36,Current,,0.19859,0.162,0.152,C,5,1,LA,Other,Employed,0,2333.333333,0,4000,18-12-2013 0.00,Q4 2013,141.02,107.1147,1
2013-10-02 14:31:09.157000000,36,Current,,0.30182,0.2629,0.2529,E,3,15,CA,Engineer - Mechanical,Employed,0,6974,0,4000,10-10-2013 0.00,Q4 2013,161.78,344.45,3
2013-02-12 18:07:31.690000000,60,Completed,22-10-2013 0.00,0.30748,0.2809,0.2709,E,3,1,NY,Sales - Commission,Employed,0,3885.916667,0,4000,21-02-2013 0.00,Q1 2013,124.76,725.35,37
2010-06-16 16:23:44.533000000,36,Completed,03-07-2013 0.00,0.11296,0.092,0.082,A,9,1,CO,Executive,Full-time,0,6666.666667,0,4000,24-06-2010 0.00,Q2 2010,0,594.48,121
2013-11-02 16:01:28.050000000,36,Current,,0.20268,0.166,0.156,C,4,2,PA,Military Enlisted,Employed,0,3600,0,10000,13-11-2013 0.00,Q4 2013,354.54,369.9221,1
2013-12-17 09:18:33.220000000,36,Current,,0.15223,0.1239,0.1139,A,6,1,LA,Other,Employed,0,10416.66667,0,35000,16-01-2014 0.00,Q1 2014,1169.03,356.4292,1
2012-01-30 17:59:17.200000000,36,Completed,19-12-2012 0.00,0.12782,0.0999,0.0899,A,9,20,CA,Other,Employed,42488,3750,0,10000,07-02-2012 0.00,Q1 2012,322.62,686.32,30
2012-09-21 13:37:43.210000000,36,Current,,0.35797,0.3177,0.3077,HR,5,2,WI,Other,Other,0,2250,0,2000,27-09-2012 0.00,Q3 2012,86.85,760.84,24
2014-01-10 11:19:14.947000000,36,Current,,0.16324,0.1274,0.1174,B,8,1,NY,Clerical,Employed,0,7000,0,25000,22-01-2014 0.00,Q1 2014,839.22,261.784,1
2010-10-10 13:23:30.757000000,36,Completed,21-12-2012 0.00,0.08191,0.0785,0.0685,AA,10,7,IL,Other,Employed,0,13083.33333,0,16000,26-10-2010 0.00,Q4 2010,500.28,1544.95,326
2014-02-24 12:55:20.430000000,36,Current,,0.22966,0.192,0.182,C,5,1,GA,,Other,15543,4058.333333,0,10000,27-02-2014 0.00,Q1 2014,367.57,0,1
2011-12-11 16:47:05.710000000,36,Current,,0.19108,0.1621,0.1521,B,8,1,OH,Retail Management,Employed,0,3833.333333,0,9000,21-12-2011 0.00,Q4 2011,317.35,2207,14
2013-11-27 11:46:18.690000000,36,Current,,0.32446,0.285,0.275,E,2,1,MN,Professional,Employed,0,8750,0,10000,11-12-2013 0.00,Q4 2013,416.34,479.89,3
2013-09-16 17:22:06.757000000,36,Current,,0.28544,0.2469,0.2369,D,6,15,NC,Teacher,Employed,0,3333.333333,0,5000,30-09-2013 0.00,Q3 2013,197.98,487.6178,1
2013-08-13 16:11:17.173000000,36,Current,,0.0893,0.0759,0.0659,AA,9,1,IL,Other,Other,0,6000,0,7000,22-08-2013 0.00,Q3 2013,218.03,251.05,151
