userid,age,dob_day,dob_year,dob_month,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received
1098638,13,2,2000,2,male,0,0,0,1,0,0,0,1,0
2063204,14,22,1999,1,male,104,0,0,1,0,0,0,1,0
1579594,19,18,1994,10,female,212,0,0,1,0,0,0,1,0
1979672,21,1,1992,1,male,328,0,0,1,0,0,0,1,0
1344831,23,10,1990,2,male,580,0,0,1,0,0,0,1,0
1798922,23,21,1990,3,female,0,0,0,1,0,0,0,1,0
1223734,26,14,1987,2,male,83,0,0,1,0,0,0,1,0
1622500,26,11,1987,6,male,106,0,0,1,0,0,0,1,0
1869656,28,1,1985,2,male,2,0,0,1,0,0,0,1,0
2180049,28,25,1985,3,female,4,0,0,1,0,0,0,1,0
1947654,28,1,1985,4,male,3,0,0,1,0,0,0,1,0
1070188,28,3,1985,7,male,383,0,0,1,0,0,0,1,0
1025295,29,12,1984,9,female,494,0,0,1,0,0,0,1,0
1156030,31,2,1982,12,male,29,0,0,1,0,0,0,1,0
2166633,31,19,1982,1,male,364,0,0,1,0,0,0,1,0
2058244,33,11,1980,11,female,31,0,0,1,0,0,0,1,0
1194160,37,8,1976,4,male,530,0,0,1,0,0,0,1,0
1154605,43,19,1970,11,female,893,0,0,1,0,0,0,1,0
1910341,45,13,1968,1,male,453,0,0,1,0,0,0,1,0
1202828,57,20,1956,8,male,9,0,0,1,0,0,0,1,0
2047946,19,10,1994,1,male,123,0,0,1,1,0,0,1,1
1688063,23,10,1990,10,male,66,0,0,1,1,0,1,1,0
2058446,32,4,1981,2,male,219,0,0,1,1,0,1,1,0
1967549,35,21,1978,8,male,27,0,0,1,1,0,0,1,1
1410952,47,5,1966,4,male,631,0,0,1,1,0,1,1,0
1201426,48,7,1965,8,male,33,0,0,1,1,0,0,1,1
1325819,51,2,1962,2,male,1315,0,0,1,1,0,0,1,1
1502300,53,23,1960,11,male,93,0,0,1,1,0,1,1,0
2058297,65,7,1948,7,female,165,0,0,1,1,0,0,1,1
1216471,72,5,1941,6,male,245,0,0,1,1,0,0,1,1
2047400,93,29,1920,2,female,138,0,0,1,1,0,1,1,0
1433078,28,15,1985,4,male,23,0,0,1,3,0,1,1,2
1780232,53,1,1960,1,male,45,0,0,1,4,0,0,1,4
1411764,71,25,1942,5,female,280,0,0,1,5,0,3,1,2
1711316,13,9,2000,5,male,40,0,0,1,0,1,0,0,0
2154106,13,5,2000,6,male,11,0,0,1,0,1,0,0,0
1443003,17,10,1996,5,male,20,0,0,1,0,1,0,0,0
1218071,18,13,1995,5,male,529,0,0,1,0,1,0,0,0
1711205,18,10,1995,6,male,29,0,0,1,0,1,0,0,0
1304252,19,1,1994,1,male,0,0,0,1,0,1,0,0,0
1094716,20,1,1993,1,female,1,0,0,1,0,1,0,0,0
1722049,21,1,1992,2,female,27,0,0,1,0,1,0,0,0
2167727,21,18,1992,6,female,509,0,0,1,0,1,0,0,0
1036417,25,14,1988,12,male,40,0,0,1,0,1,0,0,0
1147486,26,5,1987,12,male,497,0,0,1,0,1,0,0,0
1378741,26,12,1987,12,male,332,0,0,1,0,1,0,0,0
1624992,25,11,1988,1,female,248,0,0,1,0,1,0,0,0
1619439,25,1,1988,1,male,12,0,0,1,0,1,0,0,0
1246958,25,1,1988,1,male,0,0,0,1,0,1,0,0,0
1291024,25,6,1988,4,male,404,0,0,1,0,1,0,0,0
1233564,26,1,1987,2,male,646,0,0,1,0,1,0,0,0
2125248,26,1,1987,3,male,382,0,0,1,0,1,0,0,0
1521497,30,23,1983,9,male,0,0,0,1,0,1,0,0,0
1274538,31,25,1982,7,male,179,0,0,1,0,1,0,0,0
1129899,33,15,1980,8,male,102,0,0,1,0,1,0,0,0
1621971,33,20,1980,10,male,144,0,0,1,0,1,0,0,0
1670804,35,6,1978,9,female,0,0,0,1,0,1,0,0,0
2007521,45,20,1968,12,male,464,0,0,1,0,1,0,0,0
1913398,49,1,1964,11,male,1156,0,0,1,0,1,0,0,0
1418810,53,8,1960,12,male,4,0,0,1,0,1,0,0,0
1767978,54,16,1959,8,male,53,0,0,1,0,1,0,0,0
1239383,58,2,1955,7,male,6,0,0,1,0,1,0,0,0
1174736,62,26,1951,10,male,21,0,0,1,0,1,0,0,0
1837490,67,25,1946,6,male,435,0,0,1,0,1,0,0,0
1538668,81,23,1932,3,female,29,0,0,1,0,1,0,0,0
1690559,17,30,1996,3,male,58,0,0,1,1,1,1,0,0
1237359,18,12,1995,10,male,28,0,0,1,1,1,1,0,0
1386126,19,4,1994,4,male,0,0,0,1,1,1,1,0,0
1398301,22,9,1991,5,female,268,0,0,1,1,1,1,0,0
1772254,24,13,1989,11,female,80,0,0,1,1,1,1,0,0
1230734,23,4,1990,5,male,13,0,0,1,1,1,1,0,0
1329350,25,1,1988,1,male,0,0,0,1,1,1,1,0,0
1997976,26,5,1987,6,male,76,0,0,1,1,1,1,0,0
1040257,28,1,1985,1,male,41,0,0,1,1,1,0,0,1
1766686,29,9,1984,5,male,66,0,0,1,1,1,1,0,0
1829429,33,25,1980,5,male,18,0,0,1,1,1,1,0,0
1195723,34,9,1979,6,male,66,0,0,1,1,1,1,0,0
1019185,34,1,1979,10,female,397,0,0,1,1,1,1,0,0
1082188,36,10,1977,9,male,282,0,0,1,1,1,1,0,0
1324292,49,25,1964,10,male,22,0,0,1,1,1,1,0,0
1998123,52,4,1961,6,male,42,0,0,1,1,1,1,0,0
1973211,108,6,1905,6,male,6,0,0,1,1,1,1,0,0
1642857,32,17,1981,7,male,28,0,0,1,9,1,4,0,5
1856878,48,30,1965,9,male,115,0,0,1,3,1,0,0,3
1343477,20,28,1993,3,male,152,0,0,2,0,0,0,2,0
2184674,22,16,1991,4,female,91,0,0,2,0,0,0,2,0
1194680,23,1,1990,1,male,1,0,0,2,0,0,0,2,0
1760214,31,21,1982,3,male,307,0,0,2,0,0,0,2,0
1792084,31,9,1982,6,male,340,0,0,2,0,0,0,2,0
1793046,32,20,1981,6,male,59,0,0,2,0,0,0,2,0
1152161,38,2,1975,1,male,44,0,0,2,0,0,0,2,0
2064106,46,10,1967,6,male,32,0,0,2,0,0,0,2,0
2048733,48,15,1965,12,male,373,0,0,2,0,0,0,2,0
1682306,58,13,1955,2,female,9,0,0,2,0,0,0,2,0
1340376,102,1,1911,1,male,29,0,0,2,0,0,0,2,0
2064119,18,17,1995,10,male,94,0,0,2,1,0,0,2,1
1661321,30,18,1983,12,male,2,0,0,2,1,0,0,2,1
1186779,36,11,1977,1,male,1438,0,0,2,1,0,0,2,1
1093097,36,5,1977,5,male,14,0,0,2,1,0,0,2,1
2180979,55,29,1958,12,female,130,0,0,2,1,0,0,2,1
1156629,28,30,1985,12,male,2,0,0,2,2,0,0,2,2
1204953,27,26,1986,9,male,345,0,0,2,2,0,0,2,2
1445129,44,1,1969,2,male,53,0,0,2,6,0,6,2,0
1739953,44,30,1969,9,male,0,0,0,2,3,0,3,2,0
2123205,36,2,1977,1,male,191,0,0,2,0,1,0,1,0
1850867,23,26,1990,5,female,352,0,0,2,0,2,0,0,0
1519123,24,17,1989,3,male,168,0,0,2,0,2,0,0,0
1322018,26,21,1987,3,male,180,0,0,2,0,2,0,0,0
1303764,27,8,1986,5,male,5,0,0,2,0,2,0,0,0
1463663,32,1,1981,1,male,7,0,0,2,0,2,0,0,0
1294804,32,4,1981,6,male,330,0,0,2,0,2,0,0,0
1790126,36,19,1977,4,male,73,0,0,2,0,2,0,0,0
1010102,37,18,1976,7,male,3,0,0,2,0,2,0,0,0
1009089,39,11,1974,2,female,353,0,0,2,0,2,0,0,0
2140556,44,23,1969,9,female,86,0,0,2,0,2,0,0,0
2062602,13,31,2000,1,female,0,0,0,2,1,2,1,0,0
1922283,17,29,1996,12,male,77,0,0,2,1,2,1,0,0
1213485,18,3,1995,12,male,0,0,0,2,1,2,1,0,0
1383189,28,10,1985,11,female,4,0,0,2,1,2,0,0,1
1156336,14,12,1999,3,male,1,0,0,2,2,2,2,0,0
1158537,24,1,1989,1,male,39,0,0,2,2,2,2,0,0
1058475,27,11,1986,10,male,63,0,0,2,2,2,2,0,0
1475564,29,21,1984,4,male,8,0,0,2,2,2,1,0,1
1001574,30,27,1983,5,female,544,0,0,2,2,2,2,0,0
1705855,18,31,1995,1,female,2,0,0,2,6,2,5,0,1
1264301,21,20,1992,9,female,1,0,0,2,3,2,1,0,2
1622489,23,18,1990,11,female,348,0,0,3,0,0,0,3,0
1209426,28,29,1985,12,female,247,0,0,3,0,0,0,3,0
1984713,27,26,1986,8,male,821,0,0,3,0,0,0,3,0
1847204,64,28,1949,9,male,26,0,0,3,0,0,0,3,0
2138459,35,9,1978,4,female,21,0,0,3,3,0,0,3,3
1420050,77,9,1936,4,female,13,0,0,3,3,0,0,3,3
1503105,28,2,1985,3,female,193,0,0,3,0,2,0,1,0
1376108,14,5,1999,11,male,24,0,0,3,0,3,0,0,0
1366797,14,1,1999,1,male,182,0,0,3,0,3,0,0,0
2058078,17,17,1996,4,male,193,0,0,3,0,3,0,0,0
1887691,25,1,1988,1,male,53,0,0,3,0,3,0,0,0
1429804,25,1,1988,2,male,0,0,0,3,0,3,0,0,0
1539952,36,1,1977,1,male,19,0,0,3,0,3,0,0,0
2151054,40,23,1973,6,female,29,0,0,3,0,3,0,0,0
1414495,49,1,1964,12,male,64,0,0,3,0,3,0,0,0
1938094,51,8,1962,11,male,186,0,0,3,0,3,0,0,0
2099526,52,4,1961,11,male,30,0,0,3,0,3,0,0,0
1115935,52,2,1961,11,male,29,0,0,3,0,3,0,0,0
1525419,54,4,1959,12,male,26,0,0,3,0,3,0,0,0
1463219,27,20,1986,10,male,0,0,0,3,1,3,1,0,0
1195708,28,13,1985,6,female,100,0,0,3,1,3,1,0,0
1378143,30,13,1983,2,male,25,0,0,3,1,3,1,0,0
1979444,25,12,1988,5,male,15,0,0,3,4,3,4,0,0
1086694,26,24,1987,1,male,471,0,0,3,4,3,4,0,0
2193232,30,23,1983,11,male,94,0,0,3,2,3,2,0,0
1115706,37,20,1976,8,male,351,0,0,3,3,3,3,0,0
2042248,58,26,1955,7,male,44,0,0,3,2,3,2,0,0
2008882,21,25,1992,3,male,17,0,0,3,24,3,7,0,17
1597432,22,8,1991,8,male,19,0,0,4,0,0,0,4,0
1830415,37,1,1976,7,male,1244,0,0,4,0,0,0,4,0
1470459,37,11,1976,9,male,236,0,0,4,0,0,0,4,0
1741448,45,15,1968,8,male,168,0,0,4,0,0,0,4,0
1856899,18,6,1995,2,female,0,0,0,4,1,0,1,4,0
1522640,15,8,1998,8,female,607,0,0,4,3,0,1,4,2
2169367,16,1,1997,1,female,0,0,0,4,3,0,0,4,3
1412408,23,9,1990,12,female,5,0,0,4,0,1,0,3,0
1955575,45,10,1968,8,male,27,0,0,4,0,3,0,1,0
1620733,54,4,1959,12,male,27,0,0,4,0,3,0,1,0
1310691,24,26,1989,12,male,64,0,0,4,0,4,0,0,0
1819376,33,18,1980,9,male,9,0,0,4,0,4,0,0,0
1186167,39,20,1974,1,female,414,0,0,4,0,4,0,0,0
1991135,13,14,2000,7,male,0,0,0,4,1,4,1,0,0
2023466,16,1,1997,1,male,0,0,0,4,1,4,0,0,1
2016714,25,1,1988,1,male,7,0,0,4,1,4,1,0,0
2015868,66,8,1947,12,male,0,0,0,4,2,4,2,0,0
1038427,16,30,1997,10,male,0,0,0,4,4,4,4,0,0
2042382,21,1,1992,11,male,0,0,0,4,4,4,4,0,0
1887403,22,13,1991,3,male,23,0,0,4,4,4,2,0,2
1384293,28,12,1985,9,female,74,0,0,4,3,4,3,0,0
1298604,39,16,1974,2,female,29,0,0,5,5,4,4,1,1
1583567,18,19,1995,12,male,252,0,0,5,0,5,0,0,0
1452831,23,9,1990,2,male,200,0,0,5,0,5,0,0,0
2124479,44,15,1969,11,male,314,0,0,5,0,5,0,0,0
1450528,25,1,1988,1,male,0,0,0,5,2,5,0,0,2
2033891,63,16,1950,6,female,0,0,0,5,1,5,1,0,0
1027133,17,24,1996,12,female,0,0,0,5,4,5,0,0,4
1565523,25,7,1988,7,female,144,0,0,6,1,0,0,6,1
2083198,80,1,1933,4,male,431,0,0,6,4,0,2,6,2
1266555,20,3,1993,3,female,201,0,0,6,0,3,0,3,0
1570548,23,10,1990,10,male,0,0,0,6,0,6,0,0,0
1915466,25,22,1988,11,female,11,0,0,6,0,6,0,0,0
1104347,36,9,1977,3,female,134,0,0,6,0,6,0,0,0
2013054,13,21,2000,5,female,1,0,0,6,2,6,2,0,0
1634817,30,1,1983,4,male,9,0,0,6,1,6,1,0,0
1457284,38,15,1975,3,male,31,0,0,6,18,6,17,0,1
1474482,13,4,2000,3,male,39,0,0,7,6,0,4,7,2
1110056,23,25,1990,4,male,147,0,0,7,23,0,1,7,22
1263854,21,17,1992,6,female,94,0,0,7,1,5,1,2,0
1912947,22,15,1991,11,male,6,0,0,7,5,6,1,1,4
1576478,26,1,1987,1,male,347,0,0,7,0,7,0,0,0
1487785,40,14,1973,3,male,235,0,0,7,0,7,0,0,0
1568218,44,31,1969,10,female,349,0,0,7,0,7,0,0,0
1460505,22,15,1991,2,female,198,0,0,7,6,7,6,0,0
1265439,45,10,1968,11,male,173,0,0,7,6,7,6,0,0
2188137,14,18,1999,6,male,0,0,0,8,4,0,0,8,4
1486325,31,8,1982,7,male,130,0,0,8,2,0,0,8,2
2031363,35,2,1978,1,male,188,0,0,8,2,0,0,8,2
1999113,26,23,1987,4,male,96,0,0,8,0,8,0,0,0
1649393,22,29,1991,5,male,245,0,0,8,8,8,8,0,0
1766669,53,14,1960,1,male,23,0,0,8,8,8,8,0,0
1041396,18,2,1995,3,male,21,0,0,9,1,0,0,9,1
2063698,52,27,1961,9,male,298,0,0,9,0,0,0,9,0
1299302,64,20,1949,1,male,156,0,0,9,0,0,0,9,0
1140115,14,16,1999,3,female,194,0,0,9,7,9,6,0,1
1349910,25,1,1988,1,male,34,0,0,9,16,9,13,0,3
1721597,36,1,1977,5,female,387,0,0,10,0,0,0,10,0
1144238,64,21,1949,4,male,1008,0,0,10,0,0,0,10,0
1485093,54,1,1959,1,female,10,0,0,10,2,0,1,10,1
1115539,19,3,1994,10,male,145,0,0,10,0,4,0,6,0
1653309,28,11,1985,9,male,5,0,0,10,4,10,4,0,0
1661265,49,3,1964,12,female,29,0,0,10,17,10,4,0,13
1178042,25,15,1988,7,female,24,0,0,11,0,0,0,11,0
1988428,55,12,1958,9,female,772,0,0,11,0,0,0,11,0
1141171,14,30,1999,3,male,256,0,0,11,4,0,2,11,2
