date,duration,item,month,network,network_type
15-10-14 6:58,221.32112030000002,data,2014-11,data,data
15-10-14 6:58,81.61059922,call,2014-11,Vodafone,mobile
15-10-14 14:46,143.1091106,call,2014-11,Meteor,mobile
15-10-14 14:48,111.88866996,call,2014-11,Tesco,mobile
15-10-14 17:27,246.6951715,call,2014-11,Tesco,mobile
15-10-14 18:55,132.54130020000002,call,2014-11,Tesco,mobile
16-10-14 6:58,166.8835855,data,2014-11,data,data
16-10-14 15:01,184.997883,call,2014-11,Three,mobile
16-10-14 15:12,122.02841728,call,2014-11,Three,mobile
16-10-14 15:30,106.32102653,call,2014-11,voicemail,voicemail
16-10-14 16:21,15.927468800000002,call,2014-11,Three,mobile
16-10-14 22:18,163.051036,sms,2014-11,Meteor,mobile
16-10-14 22:21,156.5863078,sms,2014-11,Meteor,mobile
17-10-14 6:58,187.8992268,data,2014-11,data,data
17-10-14 10:53,120.04882477,sms,2014-11,Tesco,mobile
17-10-14 11:19,103.06675992,sms,2014-11,Tesco,mobile
17-10-14 11:20,189.91663880000002,sms,2014-11,Meteor,mobile
17-10-14 17:22,159.4045925,sms,2014-11,Vodafone,mobile
17-10-14 17:23,102.72479552,sms,2014-11,Vodafone,mobile
17-10-14 17:26,133.41923590000002,call,2014-11,Three,mobile
17-10-14 17:29,203.33888480000002,call,2014-11,Vodafone,mobile
17-10-14 17:30,205.1441993,call,2014-11,Tesco,mobile
17-10-14 17:42,186.74863969999998,sms,2014-11,Vodafone,mobile
17-10-14 17:44,148.8797793,sms,2014-11,Vodafone,mobile
17-10-14 17:44,190.0432261,sms,2014-11,Vodafone,mobile
17-10-14 17:44,137.9088821,sms,2014-11,Vodafone,mobile
18-10-14 6:58,90.97637827,data,2014-11,data,data
18-10-14 11:51,112.4130156,call,2014-11,Tesco,mobile
18-10-14 12:06,165.5819297,call,2014-11,Vodafone,mobile
18-10-14 12:06,197.2105436,call,2014-11,Vodafone,mobile
18-10-14 13:08,185.5192165,call,2014-11,Vodafone,mobile
18-10-14 13:10,158.3008729,call,2014-11,Three,mobile
18-10-14 14:01,94.93671833,call,2014-11,voicemail,voicemail
18-10-14 18:52,112.9613397,sms,2014-11,Vodafone,mobile
18-10-14 20:44,143.3065856,call,2014-11,Three,mobile
18-10-14 21:04,137.7840452,call,2014-11,Three,mobile
18-10-14 21:06,165.7903774,sms,2014-11,Three,mobile
18-10-14 21:23,147.2171156,sms,2014-11,Vodafone,mobile
18-10-14 22:37,76.94621634,sms,2014-11,Three,mobile
19-10-14 6:58,150.35217340000003,data,2014-11,data,data
19-10-14 14:47,173.0805834,call,2014-11,Three,mobile
19-10-14 15:46,101.12565395,call,2014-11,Tesco,mobile
19-10-14 16:21,127.8713454,call,2014-11,Three,mobile
19-10-14 16:30,68.75253599,call,2014-11,Three,mobile
19-10-14 20:25,136.41891070000003,call,2014-11,Three,mobile
20-10-14 6:58,142.4397781,data,2014-11,data,data
20-10-14 9:43,138.6871509,call,2014-11,voicemail,voicemail
20-10-14 9:43,82.10907517999999,call,2014-11,voicemail,voicemail
20-10-14 13:55,152.422796,call,2014-11,Vodafone,mobile
20-10-14 13:56,129.0927407,call,2014-11,landline,landline
20-10-14 18:14,238.8758387,call,2014-11,Tesco,mobile
20-10-14 18:24,119.89650374,call,2014-11,Vodafone,mobile
20-10-14 19:59,170.605373,sms,2014-11,Vodafone,mobile
20-10-14 20:16,164.78567769999998,sms,2014-11,Vodafone,mobile
21-10-14 6:58,135.7210071,data,2014-11,data,data
21-10-14 16:17,197.6647355,call,2014-11,Three,mobile
22-10-14 6:58,183.50520930000002,data,2014-11,data,data
22-10-14 12:04,199.8438093,call,2014-11,Three,mobile
23-10-14 6:58,152.58290440000002,data,2014-11,data,data
23-10-14 8:34,128.4448059,call,2014-11,landline,landline
23-10-14 9:45,152.66077620000002,call,2014-11,Meteor,mobile
23-10-14 10:46,148.86587609999998,sms,2014-11,Tesco,mobile
23-10-14 10:54,165.2084687,sms,2014-11,Vodafone,mobile
23-10-14 11:17,69.95199009000001,sms,2014-11,Vodafone,mobile
23-10-14 11:25,147.3375143,call,2014-11,Vodafone,mobile
23-10-14 17:48,85.40622527,call,2014-11,Meteor,mobile
24-10-14 6:58,167.5980606,data,2014-11,data,data
24-10-14 13:35,108.79808539,sms,2014-11,Vodafone,mobile
24-10-14 13:39,198.53354950000002,sms,2014-11,Vodafone,mobile
24-10-14 13:39,84.44412901,sms,2014-11,Vodafone,mobile
24-10-14 13:47,78.14943142999999,sms,2014-11,Vodafone,mobile
24-10-14 13:48,134.51596419999998,sms,2014-11,Vodafone,mobile
24-10-14 13:50,145.50401599999998,sms,2014-11,Vodafone,mobile
24-10-14 13:57,104.57151233,sms,2014-11,Vodafone,mobile
24-10-14 13:57,204.9404983,sms,2014-11,Vodafone,mobile
24-10-14 14:20,109.91312461,sms,2014-11,Three,mobile
24-10-14 14:27,176.0552057,sms,2014-11,Vodafone,mobile
24-10-14 18:29,88.62464653,sms,2014-11,Vodafone,mobile
24-10-14 18:33,152.720641,call,2014-11,Tesco,mobile
24-10-14 18:40,142.1113477,sms,2014-11,Vodafone,mobile
25-10-14 6:58,125.9494823,data,2014-11,data,data
26-10-14 6:58,171.6898868,data,2014-11,data,data
26-10-14 14:51,163.5122565,call,2014-11,Three,mobile
26-10-14 21:10,148.08636090000002,call,2014-11,Tesco,mobile
26-10-14 21:22,166.0860483,call,2014-11,Meteor,mobile
26-10-14 21:38,195.28200149999998,call,2014-11,Three,mobile
27-10-14 1:45,239.71451869999999,call,2014-11,Tesco,mobile
27-10-14 6:58,147.37967600000002,data,2014-11,data,data
27-10-14 11:03,137.1024124,call,2014-11,Three,mobile
27-10-14 16:30,143.4017294,call,2014-11,Three,mobile
27-10-14 19:20,127.93077120000001,call,2014-11,Three,mobile
27-10-14 19:55,179.0168705,call,2014-11,Three,mobile
28-10-14 6:58,148.6066959,data,2014-11,data,data
28-10-14 16:39,216.7300606,call,2014-11,landline,landline
28-10-14 20:44,99.25144895,call,2014-11,Tesco,mobile
